Bloque,Algoritmo,Paralelizacion,Repeticion,ErrorAbsoluto,Theorical_min,Min_Found
griewank,SGA,Paralela,5,0.00166475,0,0.00166475
lennard_jones,PSO,Paralela,7,7.1496e-05,-9.10385,-9.10378
ackley,SGA,No,6,2.93072,0,2.93072
griewank,SGA,No,6,0.0679162,0,0.0679162
ackley,PSO,No,5,0.267508,0,0.267508
ackley,SGA,Paralela,8,0.00871264,0,0.00871264
griewank,SGA,No,7,0.179725,0,0.179725
griewank,PSO,Paralela,6,0,0,0
rosenbrock,PSO,No,1,11.3193,0,11.3193
ackley,PSO,Paralela,9,4.44089e-16,0,4.44089e-16
griewank,SGA,No,8,0.00627737,0,0.00627737
griewank,PSO,No,3,0.0108017,0,0.0108017
ackley,SGA,No,9,1.39153,0,1.39153
